DATAFLOW,LAST UPDATE,freq,indic_ur,cities,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG002F,2013,544086,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG002F,2014,544628,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG002F,2015,543491,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG002F,2016,542511,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG002F,2017,542418,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG002F,2018,542253,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG002F,2019,542481,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG002F,2020,542407,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG003F,2013,416871,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG003F,2014,417867,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG003F,2015,418108,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG003F,2016,417163,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG003F,2017,417478,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG003F,2018,417462,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG003F,2019,417224,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG003F,2020,416476,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG004F,2013,277929,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG004F,2014,277922,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG004F,2015,276983,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG004F,2016,275776,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG004F,2017,275224,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG004F,2018,274911,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG004F,2019,274128,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG004F,2020,272859,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG005F,2013,159345,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG005F,2014,157528,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG005F,2015,155750,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG005F,2016,153590,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG005F,2017,151694,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG005F,2018,149939,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG005F,2019,148045,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG005F,2020,145867,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG006F,2013,185649,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG006F,2014,184663,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG006F,2015,183326,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG006F,2016,181866,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG006F,2017,180442,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG006F,2018,179077,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG006F,2019,177286,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG006F,2020,175007,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG007F,2013,64247,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG007F,2014,63011,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG007F,2015,61764,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG007F,2016,59784,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG007F,2017,58481,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG007F,2018,57330,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG007F,2019,56264,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG007F,2020,54977,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG008F,2013,162303,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG008F,2014,162393,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG008F,2015,162049,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG008F,2016,161235,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG008F,2017,160883,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG008F,2018,160125,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG008F,2019,159037,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG008F,2020,157836,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG009F,2013,123891,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG009F,2014,123122,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG009F,2015,122331,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG009F,2016,121405,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG009F,2017,120635,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG009F,2018,120081,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG009F,2019,118972,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG009F,2020,117579,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG010F,2013,111159,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG010F,2014,110072,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG010F,2015,108959,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG010F,2016,107486,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG010F,2017,106284,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG010F,2018,105076,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG010F,2019,103929,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG010F,2020,102649,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG011F,2013,98927,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG011F,2014,98421,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG011F,2015,97634,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG011F,2016,96475,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG011F,2017,95608,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG011F,2018,94413,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG011F,2019,94016,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG011F,2020,94043,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG013F,2013,96312,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG013F,2014,95289,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG013F,2015,94306,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG013F,2016,92949,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG013F,2017,91829,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG013F,2018,90677,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG013F,2019,89509,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG013F,2020,88474,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG014F,2013,92788,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG014F,2014,92090,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG014F,2015,90940,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG014F,2016,89342,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG014F,2017,88471,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG014F,2018,87780,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG014F,2019,86611,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG014F,2020,85460,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG015F,2013,113365,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG015F,2014,112373,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG015F,2015,111551,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG015F,2016,110302,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG015F,2017,109413,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG015F,2018,108376,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG015F,2019,107505,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG015F,2020,106526,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG016F,2013,96084,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG016F,2014,95738,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG016F,2015,95266,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG016F,2016,94630,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG016F,2017,94198,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG016F,2018,93588,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG016F,2019,92943,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG016F,2020,92047,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG017F,2013,88286,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG017F,2014,88278,e
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG017F,2015,87771,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG017F,2016,87259,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG017F,2017,87181,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG017F,2018,87111,
ESTAT:URB_LPOP1(1.0),22/02/23 23:00:00,A,DE1001V,BG017F,2019,86833,
