CH008C,85757,87329,88598,88747,88940,88484,88337,87829,87804
CH009C,74111,74581,75310,75538,75481,75522,75833,76090,76213
CH010C,52351,53031,,,,,,,
CY001C,246400,244100,241000,241400,,,,,
CZ001C,1243201,1259079,1267449,1280508,1294513,,1324277,,
CZ002C,377508,377440,377028,377973,379527,,381346,,
CZ003C,295653,294200,292681,291634,290450,,287968,,
CZ004C,168034,169033,169858,170548,170936,,174842,,
CZ005C,93523,93409,93248,92984,93040,,92716,,
CZ006C,99489,99809,100154,100378,100494,,100663,,
CZ007C,102301,102562,103288,103853,103979,,104802,,
CZ008C,93253,93285,93513,93470,93863,,94463,,
CZ009C,92904,92808,92891,92929,92917,,92939,,
CZ010C,89432,89693,89638,90044,90335,,91727,,
CZ011C,75278,75112,75171,75117,74947,,74935,,
CZ012C,68519,68552,68466,68660,68804,,69337,,
CZ013C,49864,49781,49326,49046,48776,,48479,,
CZ014C,50510,50521,50714,50559,50724,,51216,,
CZ015C,76109,75049,74101,73274,72382,,71200,,
CZ016C,67332,67089,67002,66768,66644,,66034,,
CZ017C,56848,55985,55163,54413,53522,,52128,,
CZ018C,69214,68842,68545,68334,68132,,67876,,
DE001C,3375222,3421829,3469849,3520031,3574830,3613495,3644826,3669491,3664088
DE002C,1734272,1746342,1762791,1787408,1810438,1830584,1841179,1847253,1852478
DE003C,1388308,1407836,1429584,1450381,1464301,1456039,1471508,1484226,1488202
DE004C,1024373,1034175,1046680,1060582,1075935,1080394,1085664,1087863,1083498
DE005C,687775,701350,717624,732688,736414,746878,753056,763380,764104
DE006C,566862,569884,573784,582624,583084,583393,583109,582760,582415
DE007C,597939,604297,612441,623738,628032,632743,634830,635911,630305
DE008C,520838,531562,544479,560472,571088,581980,587857,593145,597493
DE009C,525105,530754,536308,543825,547172,551072,554649,556780,556227
DE010C,572087,575944,580511,586181,585813,586600,587010,588250,587696
DE011C,593682,598686,604527,612178,613230,617280,619294,621877,620523
DE012C,546451,548547,551767,557464,565719,568006,569352,567559,566573
DE013C,514137,518386,523642,532163,532864,535061,538068,536925,534049
DE014C,495121,498876,501072,509975,511628,515201,518365,518370,515543
DE015C,362213,361734,361876,364742,364920,365529,364628,365587,364454
DE016C,328314,328864,329782,333090,333451,332552,333786,334195,333509
DE017C,231440,231565,232470,236991,238005,239173,239257,238762,237865
DE018C,229924,231021,232306,235723,238136,238478,238697,237565,235775
DE019C,272636,273871,275116,276218,277619,278654,278342,278474,278609
DE020C,116650,116891,117665,118914,119177,119529,119801,118911,116845
DE021C,166654,166640,167108,169278,170936,171265,170880,170632,170921
DE022C,103504,103108,102923,104529,103881,103949,103725,103902,103487
DE023C,147925,149743,151879,155353,157437,158254,159207,159878,159174
DE024C,106544,107233,108472,114914,110111,110013,110636,111528,110674
DE025C,218043,220286,222203,226393,227590,229636,230241,231195,230940
DE026C,138296,140276,142292,145465,148638,150894,152610,153094,152270
DE027C,58537,58018,57649,58092,58193,58237,57873,57751,57015
DE028C,63236,63315,63477,64131,64355,64426,65090,65228,65098
DE029C,91264,91583,92138,96800,95668,95797,95818,95653,95609
DE030C,203485,204880,206219,210118,211113,212988,213699,213981,213692
DE031C,272699,276542,281111,286374,289584,292851,295135,296582,295830
DE032C,309869,311287,313958,318809,322125,325490,327258,329673,330579
DE033C,296033,299103,300051,307755,309999,311919,313092,312060,308436
DE034C,255087,255430,256853,259996,260925,262188,261454,261034,259665
DE035C,202756,204268,206991,209779,213528,215110,217118,218578,217123
DE036C,239866,241533,243148,246306,247441,247943,247548,246794,246601
DE037C,176996,177201,176926,178151,179709,180966,180741,180374,179349
DE038C,159456,161468,164042,167745,171810,175710,178089,180334,182112
DE039C,109779,110643,111434,112586,113605,113844,114024,114052,113388
DE040C,202887,203431,204167,206011,207513,208409,208886,209191,209061
DE041C,97112,97162,97382,98520,99302,99684,99845,100030,99662
DE042C,93799,93119,92899,93537,93197,92928,92666,92174,91815
DE043C,88295,89242,90378,91271,92186,93004,93542,94145,92722
DE044C,88834,89907,90934,92643,95370,96130,96023,96492,97137
DE045C,76545,75728,75534,75995,76201,76316,76278,76089,75189
DE046C,88200,89639,91116,92973,93035,93593,93499,93584,93358
DE047C,84496,85383,85871,87464,88347,89447,90546,91506,91077
DE048C,80923,81128,81916,84674,84070,84557,85181,85707,85686
DE049C,83462,83971,84694,85942,87432,88519,89504,90164,89934
DE050C,72433,73125,73147,73836,74675,76226,76851,77129,76401
DE051C,79645,81141,81692,82859,83789,84441,84760,84911,84446
DE052C,76951,77058,77588,79197,79680,79335,79487,80196,79905
DE053C,71149,71032,71032,71574,71664,71886,72124,72184,72040
DE054C,76680,77733,83280,84455,86543,87343,88546,89802,90131
DE055C,74121,71668,72546,74072,74494,75192,75351,75711,75301
DE056C,71482,71572,71601,72148,73065,73999,74657,74783,74048
