DE006F,,,,,,,,,5068912
DE007F,2647134,2668439,2694009,2735425,2757930,2778591,2787724,2794558,2531040
DE008F,978674,986504,999168,1016485,1027484,1037782,1043293,1049025,956290
DE009F,1326647,1328759,1332577,1342754,1341818,1341986,1343305,1343841,965353
DE011F,1510304,1515921,1524809,1545483,1545431,1552097,1555985,1559177,1464904
DE012F,1234435,1237203,1244205,1259240,1269755,1274611,1277609,1277050,1046897
DE013F,1268714,1275125,1283884,1300687,1306316,1310558,1315405,1314935,1289320
DE014F,1290946,1298810,1305440,1324120,1333043,1340886,1349848,1353032,1181541
DE016F,328314,328864,329782,333090,333451,332552,333786,334195,558463
DE017F,420657,419255,418980,423422,423956,424667,423839,422577,368736
DE018F,496292,495697,496494,500889,502440,501562,500359,498077,430769
DE019F,453547,455061,457233,460332,463287,465256,465499,465634,448951
DE020F,383406,382910,384125,390549,460675,461082,460839,458326,312288
DE023F,432338,435150,439845,448126,452181,454302,456606,457722,441501
DE024F,250437,251570,253699,262913,257944,258545,259581,260926,287820
DE025F,623153,628600,634660,645818,651257,656753,658419,661204,588813
DE026F,436636,441488,445992,453820,459088,464213,468440,470222,462224
DE027F,58537,58018,57649,58092,58193,58237,57873,57751,96721
DE028F,145252,145019,145118,146258,146671,146557,147037,147384,90964
DE029F,303637,303548,304769,310913,308230,308319,308436,307432,170338
DE030F,519397,519826,521036,527169,525828,527366,527548,524565,347192
DE031F,638953,645888,653102,662890,668522,675285,680265,684705,621690
DE032F,890457,893567,899739,915022,919979,924546,927038,930437,790219
DE033F,723139,728289,731366,743596,750336,754592,757324,757161,711216
DE034F,255087,255430,256853,259996,260925,262188,261454,261034,399131
DE035F,404978,407606,411505,418528,422712,424895,428007,429995,433559
DE036F,634645,636251,638641,644988,648481,649807,648970,649578,498104
DE037F,801639,799027,797789,802708,804286,802664,799746,796637,522983
DE039F,319814,320428,321875,324511,326573,327398,328283,328486,325680
DE040F,413619,413986,416045,419484,421458,423044,423999,424985,339164
DE041F,273321,272377,272553,274483,275705,276097,276428,276228,255769
DE042F,419976,416240,413820,416171,414886,413383,412120,410222,184596
DE045F,173872,172821,172471,173895,174610,174825,174738,174793,140005
DE047F,214894,216535,218355,221837,224635,225755,227331,228678,218721
DE048F,204585,205090,206116,209648,210084,211207,212381,212506,187107
DE049F,278373,279106,280287,282781,286117,288022,289529,291320,192035
DE050F,241279,241656,241598,245241,245013,246165,246648,247084,200444
DE051F,270568,273407,275785,280288,282191,284015,285325,286305,96968
DE052F,76951,77058,77588,79197,79680,79335,79487,80196,120840
DE053F,71149,71032,71032,71574,71664,71886,72124,72184,96791
DE054F,253041,253820,259834,262505,265699,267056,268876,270688,249421
DE056F,249594,249107,248757,248922,248934,249816,250158,250013,191658
DE057F,175706,175552,176157,177971,178370,178764,178936,179011,174388
DE058F,368200,368544,368884,371127,371234,372381,373491,373945,241982
DE059F,214621,215592,216647,218901,221785,223763,224678,224536,235679
DE060F,236227,233970,232390,232318,231051,229584,227796,225997,98295
DE061F,264261,262412,261733,262517,261816,260574,259130,258074,123783
DE062F,216093,216314,217326,220132,221170,221783,222584,223145,243131
DE063F,214082,215522,216605,219619,221288,222898,224269,225159,153143
DE064F,214184,216495,219328,223788,225467,228432,231102,233306,183917
DE066F,307068,310274,312739,317918,320138,322529,324307,324881,195448
DE068F,223718,223109,223470,224820,224971,225123,224684,224702,98529
DE069F,205843,207450,209386,212201,213070,214655,216227,217470,152182
DE070F,411700,412678,415639,420106,423359,425932,429479,430953,170853
DE071F,264673,262168,260188,260000,258337,256587,254894,252725,90853
DE074F,268079,267723,268258,269888,270647,271807,272356,272106,207821
DE075F,239291,238185,237697,238358,237374,237066,236697,235623,97612
